database, url, description
UniProt Knowledgebase, https://www.uniprot.org, "Database of protein sequences and fundamental information about them. Contains over 500,000 sequence entries. Specializes in capturing as much detailed annotation information for every entry."
GenBank,https://www.ncbi.nlm.nih.gov/genbank, "Database of genetic sequences. Cotains over 2.9 billion nucleotide sequences for 504,000 species. It collaborates with the DNA DataBank of Japan and the European Nucleotide Archive so that all three databases contain the same data."
RCSB PDB, https://www.rcsb.org, "Database of protein structures. Contains over 200,000 experimentally determined structures and 1 million predicted structures. This database strives to serve as a single archive of all known protein structures."
AlphaFold DB, https://alphafold.ebi.ac.uk, "Database of protein structure predictions by AlphaFold. COntains over 200 million entries."
Catalogue of Life, https://www.catalogueoflife.org, "A database of metadata on 80% of known species, including viruses. It contains about 2.3 million species, and it is maintained taxonomists across the world."
The Human Protein Atlas, https://www.proteinatlas.org, "A database of the human proteome. It contains information on proteins in human cells and tissues. It contains over 26,000 protein-coding genes. It aims to map all protiens in the human body."
Allen Brain Atlas, https://portal.brain-map.org, "A database of the brain's anatomy and gene expression. It contains information on the brain's structure and function, and it is used to study the brain's organization and development."
FlyBase, https://flybase.org, "Database of genetic and molecular data for the family Drosophilidae. It is the primary repository for this data. It includes the complete annotated genome of Drosophila melanogaster and a bibliography of related publications."
Reactome, https://reactome.org, "Database of biological pathways, focused on human biology. In th database, biological processes are broken down into a series of molecular events."
EzTaxon, https://www.ezbiocloud.net, "A database of bacterial taxonomy. It contains information on prokaryotes based on the 16S ribosomal RNA sequence. It contains 70,000 16S rRNAs."
WormBase, https://wormbase.org, "Database of for information on the biology and genomics of the nematode organism Caenorhabditis elegans and other related nematodes."
The Arabidopsis Information Resource, https://www.arabidopsis.org, "Database of genetic and molecular data for the plant Arabidopsis thaliana. It contains information on the plant's complete genome, gene structure, and gene expression."
The Zebrafish Information Network, https://zfin.org, "Database of genetic and genomic data for the zebrafish Danio rerio. It also contains organized research data on the species."
Online Mendelian Inheritance in Man, https://omim.org, "A comprehensive database of human genes and genetic phenotypes. It contains information on over 16,000 genes and all known mendelian disorders. It focuses on the relationship between phenotype and genotype."
STRING, https://string-db.org, "Search Tool for the Retrieval of Interacting Genes/Proteins. A database of known and predicted protein-protein interactions. It contains information on 24.5 million proteins from over 5000 organisms."
The Cancer Genome Atlas, https://www.cancer.gov/tcga, "A database of cancer genomics data. It contains clinical, molecular characterization, and imaging data on 33 types of cancer over 11,000 patients. It is used to study the genetic basis of cancer."
The Human Cell Atlas, https://www.humancellatlas.org, "A database used to describe all human cell types. It contains data on cells of the human body organized by their type, location, and other criteria. Its goal to create a comprehensive reference of all human cells."
The 1000 Genomes Project, https://www.internationalgenome.org, "A database of the human genomes of 1000 participants from across the world. Created to facilitate research in human genetic variation."
dbVar, https://www.ncbi.nlm.nih.gov/dbvar, "NCBI's database of human genomic structural variation. It contains information on large-scale genomic variants, such as insertions, deletions, duplications, and inversions."
Genome, https://www.ncbi.nlm.nih.gov/genome, "NCBI's database of complete genomes. It contains information on the complete genomes of over 1000 organisms, including bacteria, archaea, and eukaryotes."
